2019-10-07 08:35:28 DEBUG DefaultIdentifierGeneratorFactory:81 - Registering IdentifierGenerator strategy [sequence-identity] -> [org.hibernate.id.SequenceIdentityGenerator]
2019-10-07 08:35:28 DEBUG DefaultIdentifierGeneratorFactory:81 - Registering IdentifierGenerator strategy [enhanced-sequence] -> [org.hibernate.id.enhanced.SequenceStyleGenerator]
2019-10-07 08:35:28 DEBUG DefaultIdentifierGeneratorFactory:81 - Registering IdentifierGenerator strategy [enhanced-table] -> [org.hibernate.id.enhanced.TableGenerator]
2019-10-07 08:35:28 WARN  pooling:72 - HHH10001002: Using Hibernate built-in connection pool (not for production use!)
2019-10-07 08:35:28 INFO  pooling:115 - HHH10001005: using driver [org.postgresql.Driver] at URL [jdbc:postgresql://localhost:5432/postgres]
2019-10-07 08:35:28 INFO  pooling:121 - HHH10001001: Connection properties: {user=postgres, password=root, pool_size=1}
2019-10-07 08:35:28 INFO  pooling:129 - HHH10001003: Autocommit mode: false
2019-10-07 08:35:28 DEBUG DriverManagerConnectionProviderImpl:384 - Initializing Connection pool with 1 Connections
2019-10-07 08:35:28 INFO  DriverManagerConnectionProviderImpl:239 - HHH000115: Hibernate connection pool size: 20 (min=1)
2019-10-07 08:35:28 DEBUG JdbcEnvironmentInitiator:72 - Database ->
       name : PostgreSQL
    version : 10.10
      major : 10
      minor : 10
2019-10-07 08:35:28 DEBUG JdbcEnvironmentInitiator:83 - Driver ->
       name : PostgreSQL JDBC Driver
    version : 42.2.8
      major : 42
      minor : 2
2019-10-07 08:35:28 DEBUG JdbcEnvironmentInitiator:389 - JDBC version : 4.2
2019-10-07 08:35:28 INFO  Dialect:172 - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQLDialect
2019-10-07 08:35:28 DEBUG IdentifierHelperBuilder:108 - JDBC driver metadata reported database stores quoted identifiers in neither upper, lower nor mixed case
2019-10-07 08:35:29 DEBUG Namespace:51 - Created database namespace [logicalName=Name{catalog=null, schema=null}, physicalName=Name{catalog=null, schema=null}]
2019-10-07 08:35:29 DEBUG BasicTypeRegistry:156 - Adding type registration pg-uuid -> org.hibernate.type.PostgresUUIDType@1869fbd2
2019-10-07 08:35:29 DEBUG BasicTypeRegistry:156 - Adding type registration java.util.UUID -> org.hibernate.type.PostgresUUIDType@1869fbd2
2019-10-07 08:35:29 DEBUG BasicTypeRegistry:159 - HHH000270: Type registration [java.util.UUID] overrides previous : org.hibernate.type.UUIDBinaryType@1b11171f
2019-10-07 08:35:29 DEBUG TypeConfiguration$Scope:152 - Scoping TypeConfiguration [org.hibernate.type.spi.TypeConfiguration@73cd37c0] to MetadataBuildingContext [org.hibernate.boot.internal.MetadataBuildingContextRootImpl@21337f7b]
2019-10-07 08:35:29 DEBUG AnnotationBinder:557 - Binding entity from annotated class: Object.Users
